Date,Open,High,Low,Close,Volume
2015-07-20 00:00:00+00:00,277.98000000,280.00000000,277.37000000,280.00000000,782.88341959
2015-07-21 00:00:00+00:00,279.96000000,281.27000000,276.85000000,277.32000000,4943.55943437
2015-07-22 00:00:00+00:00,277.33000000,278.54000000,275.01000000,277.89000000,4687.90938331
2015-07-23 00:00:00+00:00,277.96000000,279.75000000,276.28000000,277.39000000,5306.91957531
2015-07-24 00:00:00+00:00,277.23000000,291.52000000,276.43000000,289.12000000,7362.46908295
2015-07-25 00:00:00+00:00,289.12000000,291.67000000,286.82000000,289.70000000,4102.45296008
2015-07-26 00:00:00+00:00,289.68000000,294.49000000,288.65000000,293.89000000,3735.24660255
2015-07-27 00:00:00+00:00,293.88000000,297.00000000,287.24000000,294.21000000,6461.03313490
2015-07-28 00:00:00+00:00,294.22000000,298.00000000,293.65000000,295.76000000,5761.86961770
2015-07-29 00:00:00+00:00,295.74000000,296.58000000,289.01000000,290.19000000,5223.50717064
2015-07-30 00:00:00+00:00,290.26000000,291.56000000,286.56000000,288.49000000,5138.98154856
2015-07-31 00:00:00+00:00,288.49000000,290.00000000,282.79000000,285.19000000,5676.61845893
2015-08-01 00:00:00+00:00,285.20000000,285.60000000,277.26000000,281.53000000,3932.44975145
2015-08-02 00:00:00+00:00,281.53000000,282.62000000,277.33000000,282.62000000,3361.08668930
2015-08-03 00:00:00+00:00,282.62000000,285.86000000,280.27000000,280.95000000,4741.72910667
2015-08-04 00:00:00+00:00,280.95000000,286.47000000,280.11000000,285.51000000,5580.22052955
2015-08-05 00:00:00+00:00,285.60000000,286.25000000,282.01000000,282.77000000,5765.48779667
2015-08-06 00:00:00+00:00,282.44000000,282.61000000,278.95000000,279.65000000,5027.85564067
2015-08-07 00:00:00+00:00,279.37000000,281.17000000,277.05000000,279.94000000,5212.45690065
2015-08-08 00:00:00+00:00,280.06000000,280.16000000,260.07000000,262.02000000,6085.44943664
2015-08-09 00:00:00+00:00,262.02000000,268.80000000,260.97000000,267.63000000,5046.97687512
2015-08-10 00:00:00+00:00,267.60000000,268.89000000,263.17000000,265.15000000,5478.58214893
2015-08-11 00:00:00+00:00,265.15000000,271.99000000,264.91000000,271.99000000,5796.14479285
2015-08-12 00:00:00+00:00,271.99000000,272.40000000,265.79000000,266.94000000,6350.25601895
2015-08-13 00:00:00+00:00,266.81000000,267.82000000,262.94000000,264.67000000,5343.42301753
2015-08-14 00:00:00+00:00,264.48000000,267.98000000,262.50000000,266.17000000,6859.07697033
2015-08-15 00:00:00+00:00,266.21000000,267.69000000,261.77000000,262.46000000,4116.06182042
2015-08-16 00:00:00+00:00,262.45000000,263.10000000,255.67000000,259.20000000,5493.63748757
2015-08-17 00:00:00+00:00,259.20000000,261.57000000,255.58000000,257.31000000,6966.79970621
2015-08-18 00:00:00+00:00,257.56000000,258.04000000,200.00000000,221.99000000,11541.79729515
2015-08-19 00:00:00+00:00,221.99000000,238.99000000,214.91000000,227.34000000,13329.69033609
2015-08-20 00:00:00+00:00,227.46000000,238.20000000,227.45000000,235.56000000,8819.52508175
2015-08-21 00:00:00+00:00,235.56000000,236.99000000,231.15000000,232.85000000,8328.57790280
2015-08-22 00:00:00+00:00,232.85000000,235.53000000,222.68000000,231.15000000,7197.34948925
2015-08-23 00:00:00+00:00,231.16000000,233.25000000,226.15000000,229.21000000,4312.63769010
2015-08-24 00:00:00+00:00,229.23000000,229.24000000,210.00000000,211.16000000,16523.78944494
2015-08-25 00:00:00+00:00,211.16000000,229.49000000,198.02000000,223.73000000,19685.20578035
2015-08-26 00:00:00+00:00,223.73000000,231.97000000,220.16000000,226.81000000,9756.26262065
2015-08-27 00:00:00+00:00,226.72000000,229.99000000,224.00000000,225.80000000,7891.14647013
2015-08-28 00:00:00+00:00,225.62000000,236.18000000,221.20000000,231.55000000,9155.34886512
2015-08-29 00:00:00+00:00,231.55000000,233.95000000,228.00000000,230.61000000,4469.25113064
2015-08-30 00:00:00+00:00,230.61000000,233.47000000,226.59000000,229.39000000,4975.99074234
2015-08-31 00:00:00+00:00,229.40000000,233.00000000,225.23000000,230.75000000,6986.51571867
2015-09-01 00:00:00+00:00,230.76000000,233.50000000,226.42000000,228.22000000,8599.28297275
2015-09-02 00:00:00+00:00,228.22000000,231.43000000,226.43000000,229.97000000,7461.09419833
2015-09-03 00:00:00+00:00,229.95000000,230.79000000,226.48000000,227.25000000,6669.72158489
2015-09-04 00:00:00+00:00,227.24000000,232.49000000,227.24000000,231.39000000,7070.63136039
2015-09-05 00:00:00+00:00,231.43000000,237.24000000,230.12000000,236.01000000,5615.31975395
2015-09-06 00:00:00+00:00,236.17000000,244.82000000,235.54000000,241.29000000,5273.53969270
2015-09-07 00:00:00+00:00,241.26000000,242.98000000,239.21000000,241.31000000,4902.58116068
2015-09-08 00:00:00+00:00,241.31000000,247.82000000,240.31000000,244.14000000,8297.98385459
2015-09-09 00:00:00+00:00,244.24000000,244.69000000,238.60000000,238.75000000,6819.43626768
2015-09-10 00:00:00+00:00,238.74000000,241.40000000,236.69000000,238.52000000,5812.39815317
2015-09-11 00:00:00+00:00,238.55000000,241.54000000,238.50000000,240.90000000,5856.64280098
2015-09-12 00:00:00+00:00,240.90000000,241.12000000,235.26000000,236.50000000,5480.20471378
2015-09-13 00:00:00+00:00,236.50000000,236.91000000,229.72000000,230.82000000,5004.42997556
2015-09-14 00:00:00+00:00,230.83000000,233.99000000,228.01000000,231.01000000,7984.56251326
2015-09-15 00:00:00+00:00,231.02000000,232.43000000,230.26000000,230.60000000,7118.30792605
2015-09-16 00:00:00+00:00,230.67000000,232.00000000,226.85000000,229.73000000,7655.65298843
2015-09-17 00:00:00+00:00,229.72000000,235.93000000,229.01000000,233.34000000,7527.99830632
2015-09-18 00:00:00+00:00,233.31000000,234.96000000,231.75000000,233.78000000,4688.45079460
2015-09-19 00:00:00+00:00,233.78000000,234.31000000,232.00000000,232.88000000,3604.57190273
2015-09-20 00:00:00+00:00,232.88000000,234.00000000,231.84000000,232.24000000,3683.55398908
2015-09-21 00:00:00+00:00,232.26000000,233.64000000,226.87000000,227.31000000,7599.80481578
2015-09-22 00:00:00+00:00,227.31000000,232.50000000,224.45000000,231.28000000,8900.96660186
2015-09-23 00:00:00+00:00,231.31000000,233.00000000,229.27000000,230.26000000,6357.67604853
2015-09-24 00:00:00+00:00,230.26000000,235.99000000,230.09000000,235.27000000,9375.09414213
2015-09-25 00:00:00+00:00,235.35000000,237.62000000,234.02000000,235.89000000,6186.86283845
2015-09-26 00:00:00+00:00,235.88000000,236.20000000,233.50000000,234.69000000,4167.95246947
2015-09-27 00:00:00+00:00,234.67000000,235.03000000,233.20000000,233.58000000,3302.85450184
2015-09-28 00:00:00+00:00,233.53000000,240.52000000,233.53000000,239.99000000,8114.32217801
2015-09-29 00:00:00+00:00,239.96000000,241.05000000,236.65000000,236.89000000,6984.74661537
2015-09-30 00:00:00+00:00,236.88000000,238.75000000,236.26000000,237.14000000,5479.43284610
2015-10-01 00:00:00+00:00,237.10000000,239.86000000,236.90000000,238.34000000,5676.93891488
2015-10-02 00:00:00+00:00,238.34000000,239.40000000,236.97000000,238.28000000,5907.54929183
2015-10-03 00:00:00+00:00,238.31000000,240.62000000,237.73000000,239.92000000,4332.27031897
2015-10-04 00:00:00+00:00,239.93000000,240.28000000,239.07000000,239.87000000,3794.12085585
2015-10-05 00:00:00+00:00,239.87000000,240.98000000,237.50000000,240.95000000,7487.56172347
2015-10-06 00:00:00+00:00,240.93000000,248.00000000,240.31000000,246.64000000,9578.72146391
2015-10-07 00:00:00+00:00,246.70000000,247.96000000,240.20000000,244.00000000,8822.05479471
2015-10-08 00:00:00+00:00,244.00000000,245.38000000,242.20000000,242.94000000,5622.45156751
2015-10-09 00:00:00+00:00,242.94000000,244.88000000,241.10000000,244.35000000,4935.02552161
2015-10-10 00:00:00+00:00,244.44000000,246.10000000,243.80000000,246.07000000,3688.53341368
2015-10-11 00:00:00+00:00,246.06000000,250.00000000,245.63000000,249.02000000,4323.26612441
2015-10-12 00:00:00+00:00,249.01000000,249.14000000,245.89000000,246.39000000,5402.18608546
2015-10-13 00:00:00+00:00,246.43000000,251.50000000,244.86000000,250.99000000,6502.18526608
2015-10-14 00:00:00+00:00,250.98000000,255.00000000,250.25000000,253.27000000,7587.52667361
2015-10-15 00:00:00+00:00,253.25000000,256.77000000,253.18000000,254.99000000,6678.92124410
2015-10-16 00:00:00+00:00,254.98000000,267.60000000,254.86000000,263.43000000,9215.97339011
2015-10-17 00:00:00+00:00,263.45000000,274.81000000,263.05000000,272.87000000,11034.22730695
2015-10-18 00:00:00+00:00,272.88000000,273.50000000,262.94000000,265.00000000,5660.01813340
2015-10-19 00:00:00+00:00,265.00000000,268.23000000,262.05000000,265.17000000,5364.33182456
2015-10-20 00:00:00+00:00,265.09000000,272.95000000,264.38000000,271.14000000,4648.36685323
2015-10-21 00:00:00+00:00,271.16000000,272.85000000,265.00000000,268.77000000,6195.06646892
2015-10-22 00:00:00+00:00,268.77000000,280.00000000,268.75000000,275.84000000,8695.88388281
2015-10-23 00:00:00+00:00,275.76000000,281.17000000,275.40000000,278.76000000,7072.89470388
2015-10-24 00:00:00+00:00,278.76000000,284.49000000,278.75000000,284.29000000,5508.01672516
2015-10-25 00:00:00+00:00,284.29000000,295.93000000,283.28000000,284.97000000,10695.70837063
2015-10-26 00:00:00+00:00,284.97000000,287.68000000,282.04000000,287.10000000,7477.92421946
2015-10-27 00:00:00+00:00,287.10000000,297.99000000,286.89000000,295.61000000,11123.68178775
2015-10-28 00:00:00+00:00,295.68000000,308.93000000,295.65000000,304.09000000,16047.51077092
2015-10-29 00:00:00+00:00,304.10000000,320.99000000,301.80000000,316.08000000,12247.98107552
