Date,State_K3,Close,Log_Returns,GKVol_20,VolZ_20,EMA_20_slope,BodyPct,ClosePosInRange,CloseOverEMA20
2015-08-11 00:00:00+00:00,0,271.99,0.0254695973311376,0.0158770045647151,0.5867659787967002,-0.6148930996210993,0.025796718838393483,0.5,-0.021025278895370425
2015-08-12 00:00:00+00:00,0,266.94,-0.0187413868682711,0.0160177374999388,1.0797303733857349,-1.037284232990487,-0.018566859075701353,-0.3260211800302595,-0.0356011802480406
2015-08-13 00:00:00+00:00,0,264.67,-0.0085401470878505,0.0150733448889942,0.1789863352886526,-1.1546857346104389,-0.008020688879727095,-0.14549180327868444,-0.039796596288240504
2015-08-14 00:00:00+00:00,0,266.17,0.0056514354319122,0.015170450730072,1.723310798082683,-0.901858521790416,0.006389897156684806,0.16970802919708095,-0.031184862254010293
2015-08-15 00:00:00+00:00,0,262.46,-0.0140365129219267,0.0152561154658052,-1.440095623964751,-1.169300567334176,-0.014086623342473988,-0.3834459459459466,-0.04060541057042921
2015-08-16 00:00:00+00:00,0,259.2,-0.0124987249900208,0.0149123354013732,0.2379145629457614,-1.368414799016648,-0.012383311106877501,-0.02489905787348795,-0.04775879290219187
2015-08-17 00:00:00+00:00,0,257.31,-0.0073183808076797,0.0151618252890938,1.800652923095697,-1.4180895800626558,-0.007291666666666615,-0.2111853088480809,-0.049751676341367346
2015-08-18 00:00:00+00:00,1,221.99,-0.1476492478577638,0.0376366486495609,3.568769860663411,-4.646842953390035,-0.1381037428172076,-0.1211233631977946,-0.1658744874620799
2015-08-19 00:00:00+00:00,1,227.34,0.0238143584458885,0.0409973085657087,3.063125760246101,-3.6947626721147913,0.02410018469300416,0.016196013289036526,-0.1337456659270626
2015-08-20 00:00:00+00:00,1,235.56,0.0355189638178055,0.0411965557924397,1.0563188998110151,-2.5600233700086505,0.0356106568187813,0.25441860465116406,-0.09358242742177825
2015-08-21 00:00:00+00:00,1,232.85,-0.0115711886479837,0.0411268270313254,0.771672387065451,-2.5743068585792344,-0.011504499915095976,-0.2089041095890432,-0.09504606663095105
2015-08-22 00:00:00+00:00,1,231.15,-0.0073276189941517,0.0419574659801693,0.2352612545332459,-2.4910395387145456,-0.007300837449001454,0.15914396887159554,-0.09287085599070188
2015-08-23 00:00:00+00:00,1,229.21,-0.0084282365279594,0.0421172197613697,-0.995723263610399,-2.4385595826464908,-0.00843571552171651,-0.0690140845070416,-0.09179274980745822
2015-08-24 00:00:00+00:00,1,211.16,-0.0820224739508594,0.0427569972410307,2.9250993092388327,-3.925363431918271,-0.07882912358766302,-0.4397089397089399,-0.15009382017857342
2015-08-25 00:00:00+00:00,1,223.73,0.0578238277295692,0.0479976166510576,2.797533784803878,-2.3543764384022268,0.059528319757529806,0.3169685414680642,-0.09088536099682043
2015-08-26 00:00:00+00:00,0,226.81,0.0136726949073596,0.0486423342661484,0.392780586698012,-1.8368167776020243,0.013766593662003364,0.06308213378492844,-0.07143935387063305
2015-08-27 00:00:00+00:00,0,225.8,-0.0044630108767827,0.0487626964801646,-0.0859381442565357,-1.7580723225923125,-0.004057868736767764,-0.19949916527545764,-0.06887245720552837
2015-08-28 00:00:00+00:00,0,231.55,0.0251461812111992,0.0491869033594803,0.1841909372447167,-1.043017815678752,0.02628313092810924,0.1909212283044065,-0.04103670942844517
2015-08-29 00:00:00+00:00,0,230.61,-0.0040678608976106,0.0492183275906778,-0.9447164319556186,-1.0332065951379263,-0.00405959835888576,-0.061344537815122946,-0.04082538740059971
2015-08-30 00:00:00+00:00,0,229.39,-0.0053043602631139,0.0493390612040822,-0.8119944272340489,-1.050996443220015,-0.005290316985386702,-0.09302325581395571,-0.04171065681586272
2015-08-31 00:00:00+00:00,0,230.75,0.005911261616925,0.0495739264181639,-0.344343365472089,-0.8213777343419224,0.005884917175239731,0.21042471042471078,-0.03271007106254775
2015-09-01 00:00:00+00:00,0,228.22,-0.0110247973764279,0.049705204154486,0.0199728095443748,-0.9841036644046142,-0.011007106950944671,-0.24576271186440563,-0.03935271609317259
2015-09-02 00:00:00+00:00,0,229.97,0.0076387896266969,0.0497413827185162,-0.2882986910457461,-0.723712839223225,0.007668039610901761,0.2079999999999984,-0.029028537979070457
2015-09-03 00:00:00+00:00,0,227.25,-0.0118981325756424,0.0497041914314842,-0.4816866117169669,-0.9138354259638676,-0.011741682974559638,-0.32134570765661025,-0.036796438294647626
2015-09-04 00:00:00+00:00,0,231.39,0.0180538655564292,0.0496850785780158,-0.4319126420249499,-0.4325177663482407,0.018262629818693792,0.2904761904761861,-0.017447718238322363
2015-09-05 00:00:00+00:00,0,236.01,0.0197695783952433,0.0496677499251076,-0.8062441584704818,0.0486744018753881,0.019790001296288225,0.32724719101123356,0.0019631141697065146
2015-09-06 00:00:00+00:00,0,241.29,0.0221253525748264,0.0498291982071096,-0.8590533061062079,0.5468958874110683,0.02167929881017913,0.11961206896551713,0.022006066091926568
2015-09-07 00:00:00+00:00,0,241.31,8.28843763426422e-05,0.0359533607453968,-0.8632490938062369,0.4967153267052424,0.00020724529553183856,0.05702917771883409,0.01994493250812379
2015-09-08 00:00:00+00:00,0,244.14,0.0116594172812236,0.0322904476341712,0.0519435791669257,0.7189329146380885,0.011727653226140583,0.009986684420770775,0.02878032420550558
2015-09-09 00:00:00+00:00,0,238.75,-0.0223248518808139,0.0319202769988443,-0.308471467871229,0.1371297799106514,-0.022477890599410452,-0.4753694581280779,0.005486409362011058
2015-09-10 00:00:00+00:00,0,238.52,-0.0009638151059344,0.0318687317306108,-0.5346368431900609,0.102165038966774,-0.0009215045656362522,-0.11146496815286422,0.004085751169693452
2015-09-11 00:00:00+00:00,0,240.9,0.0099287453659205,0.0306613801901484,-0.5026517665887539,0.3191017019223352,0.009851184238105194,0.2894736842105302,0.012744292485556086
2015-09-12 00:00:00+00:00,0,236.5,-0.018433701688838,0.0304333227077013,-0.6222419427051329,-0.130336555403602,-0.018264840182648425,-0.28839590443685903,-0.005208238686588151
2015-09-13 00:00:00+00:00,0,230.82,-0.0243100219397289,0.029607812469685,-0.6943909186557732,-0.6588759310794501,-0.024016913319238928,-0.3470097357440898,-0.02640180218897925
2015-09-14 00:00:00+00:00,0,231.01,0.0008228136358379,0.0203495531589386,0.8259333106922989,-0.578030604309987,0.0007797946540743334,0.0016722408026740299,-0.02321886161272524
