Date,Open,High,Low,Close,Volume,Log_Returns,Abs_Return,Squared_Return,RealizedVol_20,ParkinsonVol_20,GKVol_20,VolZ_20,EMA_20,EMA_20_slope
2015-08-09 00:00:00+00:00,262.02,268.8,260.97,267.63,5046.97687512,0.02118459286827731,0.02118459286827731,0.00044878697499466585,0.020126100676280664,0.0170720983789079,0.015678622595730673,-0.1171828568371473,279.8459962350763,-1.2858943405343553
2015-08-10 00:00:00+00:00,267.6,268.89,263.17,265.15,5478.58214893,-0.009309726010662817,0.009309726010662817,8.667099839361181e-05,0.020118862668074593,0.017183421823581374,0.015849469194634695,0.31084524975073974,278.44637754602144,-1.3996186890548756
2015-08-11 00:00:00+00:00,265.15,271.99,264.91,271.99,5796.14479285,0.025469597331137645,0.025469597331137645,0.0006487003882102939,0.020904374110910184,0.01746085791794879,0.015877004564715136,0.5867659787967002,277.83148444640034,-0.6148930996210993
2015-08-12 00:00:00+00:00,271.99,272.4,265.79,266.94,6350.25601895,-0.018741386868271193,0.018741386868271193,0.00035123958174620794,0.021316488339895613,0.01769051747214566,0.01601773749993883,1.0797303733857349,276.79420021340985,-1.037284232990487
2015-08-13 00:00:00+00:00,266.81,267.82,262.94,264.67,5343.42301753,-0.008540147087850567,0.008540147087850567,7.293411228212251e-05,0.01929428566978831,0.016373975979620356,0.01507334488899422,0.17898633528865263,275.6395144787994,-1.1546857346104389
2015-08-14 00:00:00+00:00,264.48,267.98,262.5,266.17,6859.07697033,0.00565143543191229,0.00565143543191229,3.193872244107365e-05,0.019330431428493746,0.016454023409270015,0.015170450730072066,1.723310798082683,274.737655957009,-0.901858521790416
2015-08-15 00:00:00+00:00,266.21,267.69,261.77,262.46,4116.06182042,-0.014036512921926717,0.014036512921926717,0.0001970236950074157,0.01931856093922856,0.01650813811201347,0.01525611546580521,-1.440095623964751,273.5683553896748,-1.1693005673341759
2015-08-16 00:00:00+00:00,262.45,263.1,255.67,259.2,5493.63748757,-0.012498724990020886,0.012498724990020886,0.0001562181263761726,0.019518157921133348,0.016345734430323205,0.014912335401373213,0.23791456294576144,272.1999405906582,-1.368414799016648
2015-08-17 00:00:00+00:00,259.2,261.57,255.58,257.31,6966.79970621,-0.007318380807679728,0.007318380807679728,5.3558697646214986e-05,0.019551366353908042,0.01652155993691205,0.015161825289093857,1.800652923095697,270.7818510105955,-1.4180895800626558
2015-08-18 00:00:00+00:00,257.56,258.04,200.0,221.99,11541.79729515,-0.14764924785776387,0.14764924785776387,0.02180030039296339,0.03813393913652154,0.03783758232467388,0.03763664864956092,3.568769860663411,266.1350080572055,-4.646842953390035
