time,Open,High,Low,Close,Volume
2019-04-01 00:00:00+00:00,4095.00000000,4120.39000000,4051.53000000,4111.01000000,1288.21123851
2019-04-01 01:00:00+00:00,4111.01000000,4137.92000000,4111.00000000,4115.79000000,713.42644604
2019-04-01 02:00:00+00:00,4115.95000000,4124.00000000,4115.95000000,4120.43000000,226.41072999
2019-04-01 03:00:00+00:00,4121.19000000,4135.52000000,4116.01000000,4127.00000000,347.94452911
2019-04-01 04:00:00+00:00,4126.74000000,4129.99000000,4123.06000000,4125.16000000,125.75711460
2019-04-01 05:00:00+00:00,4125.16000000,4125.17000000,4118.00000000,4123.55000000,87.96202838
2019-04-01 06:00:00+00:00,4123.55000000,4129.97000000,4123.05000000,4128.39000000,146.02932019
2019-04-01 07:00:00+00:00,4128.40000000,4130.00000000,4120.00000000,4122.79000000,182.82029539
2019-04-01 08:00:00+00:00,4122.79000000,4123.00000000,4110.00000000,4122.99000000,364.73100143
2019-04-01 09:00:00+00:00,4123.00000000,4125.00000000,4116.18000000,4120.72000000,110.39979829
2019-04-01 10:00:00+00:00,4121.99000000,4124.00000000,4111.17000000,4117.06000000,101.44206238
2019-04-01 11:00:00+00:00,4117.07000000,4117.15000000,4110.23000000,4113.01000000,164.02134355
2019-04-01 12:00:00+00:00,4113.01000000,4129.16000000,4113.01000000,4127.69000000,197.81872423
2019-04-01 13:00:00+00:00,4127.70000000,4137.00000000,4124.15000000,4137.00000000,278.07243902
2019-04-01 14:00:00+00:00,4137.00000000,4149.50000000,4134.99000000,4135.00000000,715.67054420
2019-04-01 15:00:00+00:00,4135.00000000,4139.80000000,4129.34000000,4138.72000000,574.35687368
2019-04-01 16:00:00+00:00,4139.16000000,4148.30000000,4137.86000000,4142.90000000,322.08382363
2019-04-01 17:00:00+00:00,4142.90000000,4142.90000000,4131.44000000,4134.35000000,253.07732707
2019-04-01 18:00:00+00:00,4133.29000000,4136.00000000,4126.64000000,4134.68000000,312.06969348
2019-04-01 19:00:00+00:00,4134.00000000,4135.50000000,4130.00000000,4133.74000000,316.48882909
2019-04-01 20:00:00+00:00,4133.74000000,4133.88000000,4128.01000000,4128.49000000,293.68153520
2019-04-01 21:00:00+00:00,4128.49000000,4131.83000000,4127.20000000,4130.74000000,243.57738390
2019-04-01 22:00:00+00:00,4130.73000000,4145.77000000,4130.20000000,4137.37000000,323.31389897
2019-04-01 23:00:00+00:00,4137.36000000,4146.02000000,4133.71000000,4137.00000000,261.89794674
2019-04-02 00:00:00+00:00,4137.01000000,4163.90000000,4132.02000000,4148.18000000,672.07842353
2019-04-02 01:00:00+00:00,4148.18000000,4158.77000000,4140.02000000,4155.42000000,357.53131537
2019-04-02 02:00:00+00:00,4155.42000000,4181.00000000,4155.42000000,4173.00000000,758.40968721
2019-04-02 03:00:00+00:00,4173.00000000,4180.14000000,4166.42000000,4176.77000000,411.15949895
2019-04-02 04:00:00+00:00,4177.00000000,4800.00000000,4173.37000000,4654.71000000,6888.52976584
2019-04-02 05:00:00+00:00,4654.71000000,5121.00000000,4641.30000000,4740.62000000,5612.73305538
2019-04-02 06:00:00+00:00,4740.62000000,4777.69000000,4660.01000000,4721.35000000,2968.71339314
2019-04-02 07:00:00+00:00,4721.35000000,4725.00000000,4672.55000000,4699.09000000,897.98436444
2019-04-02 08:00:00+00:00,4699.09000000,4725.00000000,4691.06000000,4699.19000000,702.98715242
2019-04-02 09:00:00+00:00,4698.82000000,4832.42000000,4694.98000000,4802.31000000,1350.68463672
2019-04-02 10:00:00+00:00,4799.12000000,4807.32000000,4756.94000000,4789.70000000,635.57584664
2019-04-02 11:00:00+00:00,4789.71000000,4805.62000000,4771.16000000,4776.57000000,887.38903230
2019-04-02 12:00:00+00:00,4778.75000000,4833.00000000,4776.28000000,4809.92000000,1132.45962242
2019-04-02 13:00:00+00:00,4809.91000000,4812.13000000,4781.76000000,4802.76000000,1021.42437317
2019-04-02 14:00:00+00:00,4803.42000000,4804.00000000,4670.69000000,4746.89000000,2471.37753725
2019-04-02 15:00:00+00:00,4744.03000000,4750.00000000,4697.87000000,4744.12000000,1170.28864385
2019-04-02 16:00:00+00:00,4745.34000000,4748.05000000,4715.00000000,4737.04000000,785.33031118
2019-04-02 17:00:00+00:00,4737.89000000,4737.89000000,4680.50000000,4722.63000000,872.17736407
2019-04-02 18:00:00+00:00,4722.64000000,4739.74000000,4722.01000000,4738.96000000,593.59129833
2019-04-02 19:00:00+00:00,4739.73000000,4772.61000000,4729.50000000,4765.00000000,1002.63829245
2019-04-02 20:00:00+00:00,4764.00000000,4830.00000000,4745.05000000,4804.13000000,2423.12019532
2019-04-02 21:00:00+00:00,4804.13000000,4838.00000000,4769.39000000,4788.21000000,1204.60473050
2019-04-02 22:00:00+00:00,4788.22000000,4825.88000000,4788.20000000,4825.88000000,550.29032325
2019-04-02 23:00:00+00:00,4827.38000000,4945.00000000,4815.00000000,4901.93000000,3035.85325259
2019-04-03 00:00:00+00:00,4901.92000000,4999.00000000,4893.09000000,4979.00000000,2720.98418619
2019-04-03 01:00:00+00:00,4979.00000000,4985.00000000,4925.69000000,4969.02000000,1057.77932206
