time,Open,High,Low,Close,Volume
2017-01-01 00:00:00+00:00,973.37000000,973.40000000,969.90000000,970.27000000,184.70460240
2017-01-01 01:00:00+00:00,970.99000000,972.00000000,968.21000000,970.49000000,148.35380141
2017-01-01 02:00:00+00:00,970.49000000,971.99000000,967.00000000,967.95000000,108.43613912
2017-01-01 03:00:00+00:00,967.83000000,969.47000000,967.57000000,968.14000000,125.09431356
2017-01-01 04:00:00+00:00,968.17000000,968.62000000,966.64000000,968.10000000,79.41183049
2017-01-01 05:00:00+00:00,968.10000000,968.10000000,964.37000000,966.92000000,159.86432068
2017-01-01 06:00:00+00:00,966.92000000,969.63000000,964.54000000,969.45000000,68.54712649
2017-01-01 07:00:00+00:00,969.45000000,970.56000000,968.54000000,969.47000000,82.88220936
2017-01-01 08:00:00+00:00,969.04000000,969.58000000,968.11000000,969.15000000,89.59368760
2017-01-01 09:00:00+00:00,969.16000000,970.68000000,968.60000000,970.38000000,52.61834586
2017-01-01 10:00:00+00:00,970.36000000,974.99000000,969.79000000,974.99000000,100.24092551
2017-01-01 11:00:00+00:00,974.98000000,975.00000000,974.98000000,975.00000000,53.65411492
2017-01-01 12:00:00+00:00,975.00000000,975.00000000,974.01000000,974.56000000,51.99700562
2017-01-01 13:00:00+00:00,974.37000000,977.99000000,974.31000000,977.99000000,124.68269493
2017-01-01 14:00:00+00:00,977.98000000,979.99000000,977.58000000,979.99000000,100.94423630
2017-01-01 15:00:00+00:00,979.99000000,979.99000000,979.01000000,979.99000000,110.60929404
2017-01-01 16:00:00+00:00,979.98000000,994.97000000,977.63000000,994.79000000,545.21712391
2017-01-01 17:00:00+00:00,994.80000000,994.80000000,993.00000000,994.42000000,366.59442776
2017-01-01 18:00:00+00:00,994.49000000,999.68000000,994.49000000,997.12000000,347.56732392
2017-01-01 19:00:00+00:00,997.11000000,997.11000000,993.70000000,994.92000000,271.65721333
2017-01-01 20:00:00+00:00,994.61000000,1000.00000000,993.76000000,1000.00000000,306.40469481
2017-01-01 21:00:00+00:00,1000.00000000,1000.00000000,992.04000000,997.22000000,435.75484369
2017-01-01 22:00:00+00:00,997.22000000,998.00000000,990.00000000,998.00000000,295.21865218
2017-01-01 23:00:00+00:00,998.00000000,998.99000000,986.86000000,992.95000000,211.45395494
2017-01-02 00:00:00+00:00,992.96000000,997.99000000,992.86000000,995.48000000,250.63936818
2017-01-02 01:00:00+00:00,996.17000000,997.71000000,990.52000000,997.71000000,213.41196949
2017-01-02 02:00:00+00:00,997.70000000,1002.00000000,997.39000000,1002.00000000,253.78521724
2017-01-02 03:00:00+00:00,1002.00000000,1011.78000000,1000.01000000,1009.63000000,437.37277351
2017-01-02 04:00:00+00:00,1009.63000000,1010.70000000,1005.43000000,1009.62000000,191.69368992
2017-01-02 05:00:00+00:00,1009.20000000,1012.00000000,1000.00000000,1003.64000000,340.48495649
2017-01-02 06:00:00+00:00,1002.94000000,1010.99000000,1002.92000000,1009.65000000,190.49711814
2017-01-02 07:00:00+00:00,1009.80000000,1012.25000000,1007.35000000,1012.25000000,183.95580198
2017-01-02 08:00:00+00:00,1012.01000000,1013.00000000,1009.33000000,1012.03000000,108.59326182
2017-01-02 09:00:00+00:00,1012.03000000,1015.00000000,1005.70000000,1015.00000000,122.58852369
2017-01-02 10:00:00+00:00,1015.00000000,1019.10000000,1010.65000000,1015.79000000,198.68850233
2017-01-02 11:00:00+00:00,1015.52000000,1024.95000000,1015.43000000,1024.84000000,150.77037061
2017-01-02 12:00:00+00:00,1024.84000000,1025.00000000,1021.70000000,1024.99000000,114.39532445
2017-01-02 13:00:00+00:00,1024.99000000,1025.00000000,1005.30000000,1018.16000000,229.18611285
2017-01-02 14:00:00+00:00,1018.00000000,1024.54000000,1011.34000000,1024.31000000,177.61662773
2017-01-02 15:00:00+00:00,1024.31000000,1028.00000000,1015.05000000,1026.98000000,680.83351232
2017-01-02 16:00:00+00:00,1026.98000000,1034.39000000,1023.20000000,1029.95000000,424.81495235
2017-01-02 17:00:00+00:00,1029.76000000,1030.00000000,1015.81000000,1021.88000000,367.93084244
2017-01-02 18:00:00+00:00,1021.87000000,1029.00000000,1018.00000000,1018.41000000,323.71659911
2017-01-02 19:00:00+00:00,1018.26000000,1019.58000000,997.20000000,1001.01000000,906.53325963
2017-01-02 20:00:00+00:00,1001.02000000,1014.00000000,991.69000000,1012.98000000,957.64345482
2017-01-02 21:00:00+00:00,1012.99000000,1017.79000000,1006.60000000,1012.20000000,313.21919823
2017-01-02 22:00:00+00:00,1012.20000000,1019.67000000,1011.31000000,1013.80000000,260.83055650
2017-01-02 23:00:00+00:00,1015.05000000,1019.99000000,1011.45000000,1011.45000000,324.43375779
2017-01-03 00:00:00+00:00,1011.52000000,1023.30000000,1009.29000000,1020.74000000,309.19482543
2017-01-03 01:00:00+00:00,1020.84000000,1022.99000000,1012.61000000,1019.01000000,243.24847029
2017-01-03 02:00:00+00:00,1019.05000000,1023.00000000,1012.90000000,1022.97000000,132.01098070
2017-01-03 03:00:00+00:00,1022.97000000,1029.85000000,1016.65000000,1024.09000000,415.07825107
2017-01-03 04:00:00+00:00,1023.95000000,1024.10000000,1017.42000000,1022.36000000,297.67770405
2017-01-03 05:00:00+00:00,1021.86000000,1027.93000000,1015.03000000,1018.80000000,328.92870661
2017-01-03 06:00:00+00:00,1018.65000000,1024.47000000,1011.50000000,1013.16000000,306.65314221
