time,Open,High,Low,Close,Volume
2022-06-01 00:00:00+00:00,31784.18000000,31964.56000000,31660.08000000,31920.41000000,686.44647837
2022-06-01 01:00:00+00:00,31921.62000000,31933.02000000,31797.56000000,31906.78000000,493.55626978
2022-06-01 02:00:00+00:00,31906.21000000,31910.39000000,31707.25000000,31783.77000000,533.42570289
2022-06-01 03:00:00+00:00,31783.17000000,31786.30000000,31583.91000000,31598.97000000,576.32592199
2022-06-01 04:00:00+00:00,31598.97000000,31649.20000000,31315.23000000,31538.51000000,1038.40967562
2022-06-01 05:00:00+00:00,31538.50000000,31607.20000000,31417.96000000,31607.20000000,362.46124349
2022-06-01 06:00:00+00:00,31607.19000000,31650.10000000,31543.30000000,31558.60000000,338.50301680
2022-06-01 07:00:00+00:00,31558.60000000,31612.11000000,31450.00000000,31463.03000000,574.66248749
2022-06-01 08:00:00+00:00,31462.67000000,31620.75000000,31425.00000000,31598.51000000,388.13403305
2022-06-01 09:00:00+00:00,31598.51000000,31684.92000000,31586.29000000,31677.62000000,247.32279718
2022-06-01 10:00:00+00:00,31677.61000000,31689.74000000,31517.18000000,31540.12000000,437.11321580
2022-06-01 11:00:00+00:00,31538.49000000,31648.28000000,31426.89000000,31589.01000000,591.97212634
2022-06-01 12:00:00+00:00,31589.01000000,31817.07000000,31509.00000000,31709.20000000,475.31903951
2022-06-01 13:00:00+00:00,31709.20000000,31888.00000000,31618.92000000,31715.72000000,1205.16861566
2022-06-01 14:00:00+00:00,31715.71000000,31791.50000000,30936.75000000,31143.14000000,2222.02595087
2022-06-01 15:00:00+00:00,31143.14000000,31202.17000000,30695.00000000,30715.32000000,1961.02725361
2022-06-01 16:00:00+00:00,30715.33000000,30718.94000000,30275.00000000,30396.82000000,3449.97693398
2022-06-01 17:00:00+00:00,30396.82000000,30403.30000000,29852.50000000,30152.34000000,3317.49638974
2022-06-01 18:00:00+00:00,30152.34000000,30408.49000000,30081.55000000,30130.15000000,1400.50600011
