time,Open,High,Low,Close,Volume
2015-10-01 00:00:00+00:00,237.10000000,237.44000000,236.90000000,237.10000000,177.66296835
2015-10-01 01:00:00+00:00,237.08000000,237.59000000,237.00000000,237.59000000,229.79241556
2015-10-01 02:00:00+00:00,237.60000000,238.19000000,237.60000000,238.15000000,182.58910549
2015-10-01 03:00:00+00:00,238.10000000,238.24000000,237.94000000,238.12000000,268.88840818
2015-10-01 04:00:00+00:00,238.11000000,238.26000000,237.63000000,238.26000000,218.40617349
2015-10-01 05:00:00+00:00,238.09000000,238.23000000,237.75000000,238.14000000,162.38800000
2015-10-01 06:00:00+00:00,238.13000000,238.19000000,237.26000000,237.48000000,168.24447656
2015-10-01 07:00:00+00:00,237.51000000,237.51000000,237.00000000,237.17000000,150.16800000
2015-10-01 08:00:00+00:00,237.17000000,237.46000000,237.01000000,237.37000000,218.47750095
2015-10-01 09:00:00+00:00,237.43000000,237.49000000,236.97000000,237.41000000,134.58650000
2015-10-01 10:00:00+00:00,237.41000000,237.50000000,237.05000000,237.50000000,84.82280000
2015-10-01 11:00:00+00:00,237.45000000,237.52000000,237.09000000,237.50000000,87.26970000
2015-10-01 12:00:00+00:00,237.50000000,237.55000000,237.15000000,237.50000000,333.73630000
2015-10-01 13:00:00+00:00,237.49000000,237.55000000,237.07000000,237.47000000,199.36216085
2015-10-01 14:00:00+00:00,237.47000000,237.82000000,237.34000000,237.81000000,213.15117897
2015-10-01 15:00:00+00:00,237.82000000,239.72000000,237.81000000,239.60000000,387.73686925
2015-10-01 16:00:00+00:00,239.60000000,239.86000000,238.85000000,239.21000000,491.09080121
2015-10-01 17:00:00+00:00,239.09000000,239.51000000,238.89000000,239.09000000,311.58992841
2015-10-01 18:00:00+00:00,239.06000000,239.25000000,238.91000000,239.25000000,171.72082759
2015-10-01 19:00:00+00:00,239.25000000,239.25000000,239.03000000,239.09000000,242.94333515
2015-10-01 20:00:00+00:00,239.17000000,239.25000000,238.47000000,238.97000000,491.52487388
2015-10-01 21:00:00+00:00,238.94000000,239.00000000,238.45000000,238.55000000,194.64429932
2015-10-01 22:00:00+00:00,238.49000000,238.66000000,238.39000000,238.66000000,302.98645199
2015-10-01 23:00:00+00:00,238.65000000,238.82000000,238.24000000,238.34000000,253.15583968
2015-10-02 00:00:00+00:00,238.34000000,238.80000000,238.24000000,238.36000000,305.92480348
2015-10-02 01:00:00+00:00,238.37000000,239.29000000,238.32000000,239.20000000,246.46046413
2015-10-02 02:00:00+00:00,239.10000000,239.40000000,238.95000000,239.23000000,168.16230416
2015-10-02 03:00:00+00:00,239.23000000,239.23000000,238.58000000,238.97000000,196.05921650
2015-10-02 04:00:00+00:00,238.97000000,239.14000000,238.67000000,238.90000000,161.43361789
