time,Open,High,Low,Close,Volume
2023-12-01 00:00:00+00:00,37732.27000000,37750.54000000,37618.25000000,37688.33000000,338.19269851
2023-12-01 01:00:00+00:00,37688.33000000,37971.02000000,37645.08000000,37951.64000000,357.37608588
2023-12-01 02:00:00+00:00,37952.80000000,38092.79000000,37871.40000000,37999.86000000,291.68515438
2023-12-01 03:00:00+00:00,37999.87000000,38077.94000000,37953.30000000,38056.16000000,371.70453983
2023-12-01 04:00:00+00:00,38056.17000000,38255.49000000,38030.72000000,38191.40000000,618.76214538
2023-12-01 05:00:00+00:00,38191.78000000,38217.77000000,38109.05000000,38132.12000000,290.45056380
2023-12-01 06:00:00+00:00,38132.89000000,38237.31000000,38088.00000000,38224.53000000,268.19010465
2023-12-01 07:00:00+00:00,38225.30000000,38364.91000000,38210.29000000,38254.87000000,497.29596575
2023-12-01 08:00:00+00:00,38255.15000000,38377.68000000,38227.96000000,38329.42000000,595.80067738
2023-12-01 09:00:00+00:00,38329.42000000,38728.73000000,38329.42000000,38723.76000000,1218.74770882
2023-12-01 10:00:00+00:00,38724.25000000,38846.09000000,38542.00000000,38542.00000000,549.53038545
2023-12-01 11:00:00+00:00,38547.34000000,38672.97000000,38516.90000000,38588.41000000,374.40401627
2023-12-01 12:00:00+00:00,38588.42000000,38643.97000000,38305.69000000,38370.11000000,575.73821240
2023-12-01 13:00:00+00:00,38367.68000000,38449.73000000,38303.23000000,38377.51000000,407.67220477
2023-12-01 14:00:00+00:00,38376.63000000,38424.00000000,38218.30000000,38331.63000000,828.88494396
2023-12-01 15:00:00+00:00,38335.22000000,38465.25000000,38295.80000000,38427.70000000,1259.88395123
2023-12-01 16:00:00+00:00,38427.52000000,39000.00000000,38405.86000000,38828.64000000,2386.59437946
2023-12-01 17:00:00+00:00,38822.93000000,38920.37000000,38711.42000000,38813.23000000,1242.90942107
2023-12-01 18:00:00+00:00,38813.23000000,38937.66000000,38716.37000000,38720.48000000,992.22634659
2023-12-01 19:00:00+00:00,38720.66000000,38798.00000000,38630.78000000,38771.60000000,817.74297953
2023-12-01 20:00:00+00:00,38771.60000000,38886.51000000,38718.38000000,38764.69000000,739.55638165
2023-12-01 21:00:00+00:00,38764.77000000,38926.87000000,38764.45000000,38794.51000000,557.68026199
2023-12-01 22:00:00+00:00,38794.51000000,38873.51000000,38712.51000000,38726.90000000,484.47966830
2023-12-01 23:00:00+00:00,38726.84000000,38760.35000000,38669.01000000,38703.54000000,330.39318101
2023-12-02 00:00:00+00:00,38706.55000000,38754.99000000,38660.03000000,38737.65000000,275.08073211
2023-12-02 01:00:00+00:00,38737.66000000,38818.14000000,38711.55000000,38772.78000000,177.22549321
2023-12-02 02:00:00+00:00,38772.75000000,38795.08000000,38682.29000000,38742.01000000,137.71949476
2023-12-02 03:00:00+00:00,38743.71000000,38806.16000000,38737.74000000,38805.54000000,160.07303301
2023-12-02 04:00:00+00:00,38805.28000000,38840.83000000,38735.74000000,38837.67000000,141.62452447
2023-12-02 05:00:00+00:00,38836.38000000,38838.00000000,38762.79000000,38765.93000000,169.12019732
2023-12-02 06:00:00+00:00,38765.91000000,38809.76000000,38736.22000000,38792.31000000,103.53386998
2023-12-02 07:00:00+00:00,38792.30000000,38848.98000000,38718.87000000,38721.32000000,124.71466460
2023-12-02 08:00:00+00:00,38723.41000000,38763.04000000,38669.46000000,38731.63000000,97.75714553
2023-12-02 09:00:00+00:00,38733.10000000,38804.09000000,38725.30000000,38787.66000000,103.53527626
2023-12-02 10:00:00+00:00,38789.13000000,38807.89000000,38757.04000000,38764.41000000,50.22463745
2023-12-02 11:00:00+00:00,38764.42000000,38771.79000000,38720.00000000,38753.09000000,69.13421482
2023-12-02 12:00:00+00:00,38754.57000000,38811.84000000,38744.92000000,38798.05000000,115.55942224
2023-12-02 13:00:00+00:00,38798.29000000,38883.13000000,38775.47000000,38833.15000000,168.29268242
2023-12-02 14:00:00+00:00,38834.19000000,38867.29000000,38744.68000000,38796.64000000,198.36175340
2023-12-02 15:00:00+00:00,38796.64000000,38847.73000000,38730.00000000,38828.38000000,214.33772464
2023-12-02 16:00:00+00:00,38828.37000000,38831.27000000,38727.05000000,38769.38000000,216.02930126
2023-12-02 17:00:00+00:00,38769.38000000,38814.54000000,38760.80000000,38814.53000000,156.30429993
2023-12-02 18:00:00+00:00,38814.52000000,38988.09000000,38801.58000000,38890.03000000,374.90541124
2023-12-02 19:00:00+00:00,38894.30000000,39740.00000000,38891.45000000,39437.68000000,2412.08943206
2023-12-02 20:00:00+00:00,39436.94000000,39606.53000000,39299.99000000,39585.46000000,650.08991176
2023-12-02 21:00:00+00:00,39585.46000000,39728.80000000,39431.90000000,39576.16000000,624.64951329
2023-12-02 22:00:00+00:00,39581.14000000,39628.62000000,39309.38000000,39370.83000000,432.38153418
2023-12-02 23:00:00+00:00,39371.07000000,39499.20000000,39343.73000000,39478.95000000,368.02454836
2023-12-03 00:00:00+00:00,39467.42000000,39544.55000000,39408.76000000,39518.32000000,298.47308524
2023-12-03 01:00:00+00:00,39518.23000000,39577.00000000,39494.82000000,39509.31000000,278.51606234
2023-12-03 02:00:00+00:00,39508.67000000,39569.55000000,39372.32000000,39386.26000000,304.90332736
2023-12-03 03:00:00+00:00,39386.27000000,39405.24000000,39293.02000000,39405.24000000,220.57328070
2023-12-03 04:00:00+00:00,39402.81000000,39445.01000000,39363.59000000,39371.31000000,139.89431143
2023-12-03 05:00:00+00:00,39371.31000000,39459.42000000,39334.96000000,39436.81000000,110.33576636
2023-12-03 06:00:00+00:00,39436.77000000,39472.70000000,39387.04000000,39434.33000000,84.16569505
2023-12-03 07:00:00+00:00,39434.00000000,39511.33000000,39407.64000000,39498.37000000,86.46568379
2023-12-03 08:00:00+00:00,39497.56000000,39504.73000000,39413.60000000,39416.68000000,56.99034702
2023-12-03 09:00:00+00:00,39416.72000000,39485.70000000,39411.20000000,39472.35000000,77.50240812
2023-12-03 10:00:00+00:00,39472.36000000,39553.95000000,39425.02000000,39549.14000000,81.33630565
2023-12-03 11:00:00+00:00,39549.13000000,39559.18000000,39457.62000000,39492.61000000,127.46377351
2023-12-03 12:00:00+00:00,39492.61000000,39528.03000000,39393.04000000,39419.80000000,134.48608132
2023-12-03 13:00:00+00:00,39419.81000000,39790.99000000,39399.00000000,39683.89000000,362.89310217
2023-12-03 14:00:00+00:00,39682.71000000,39762.45000000,39557.49000000,39558.47000000,261.64377569
2023-12-03 15:00:00+00:00,39558.47000000,39817.73000000,39503.69000000,39775.52000000,451.15334518
2023-12-03 16:00:00+00:00,39775.42000000,39849.00000000,39660.72000000,39673.87000000,408.71206625
2023-12-03 17:00:00+00:00,39676.36000000,39693.82000000,39468.69000000,39541.53000000,285.87095677
2023-12-03 18:00:00+00:00,39541.37000000,39602.84000000,39505.70000000,39558.29000000,170.66149519
2023-12-03 19:00:00+00:00,39559.69000000,39593.58000000,39457.85000000,39582.42000000,206.96923864
2023-12-03 20:00:00+00:00,39585.50000000,39657.49000000,39567.38000000,39584.68000000,184.57999811
2023-12-03 21:00:00+00:00,39584.71000000,39779.40000000,39581.80000000,39728.60000000,239.95893384
