CAGR,Sharpe,Sharpe_Daily,ProfitFactor,WinRate,FinalEquity,NumTrades,params,trades
0.30045248030175387,4.927071308781609,1.1663214288551291,1.6548645002666849,0.2018140589569161,2.625381771511413,441,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.55, ""be_activate_atr"": 0.5}",441
0.3461769108111128,5.654116872537932,1.2823505279146352,1.7486816090235375,0.2181372549019608,2.9807928635796124,408,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.55, ""be_activate_atr"": 0.75}",408
0.3322191394686014,5.525331400860004,1.233320244669944,1.6980016391173895,0.22955145118733508,2.8688060101113666,379,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.55, ""be_activate_atr"": 1.0}",379
0.3047946284892591,5.02029567357323,1.18024078278706,1.6700100935491193,0.20046082949308755,2.657732907621912,434,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.6, ""be_activate_atr"": 0.5}",434
0.3359140629273778,5.543470158300147,1.2647330634304694,1.7335655683396407,0.21621621621621623,2.898148013647507,407,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.6, ""be_activate_atr"": 0.75}",407
0.3229883359877661,5.4266725687549116,1.2179005325656866,1.6857915112161277,0.23015873015873015,2.796447875918844,378,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.6, ""be_activate_atr"": 1.0}",378
0.2995338094913602,4.959066607025182,1.1657763588764891,1.6682700363756888,0.1976470588235294,2.6185741332300685,425,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.65, ""be_activate_atr"": 0.5}",425
0.3214265876550344,5.33677163105475,1.2224661383076938,1.7034127680991713,0.20884520884520885,2.784338409169019,407,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.65, ""be_activate_atr"": 0.75}",407
0.3384954579774273,6.006303573564819,1.2752973705681394,1.7397272733057838,0.224,2.9187764881012903,375,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.65, ""be_activate_atr"": 1.0}",375
0.2923057893101322,4.842464898135627,1.142928579765217,1.6608441457833745,0.1932367149758454,2.565459549094051,414,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.7, ""be_activate_atr"": 0.5}",414
0.3086749354659395,5.133190537726949,1.1821503921956527,1.6807129527087568,0.20351758793969849,2.6868877259903323,398,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.7, ""be_activate_atr"": 0.75}",398
0.3168037685837477,5.628690312642589,1.20795444337187,1.6917318237645658,0.21467391304347827,2.7487177042865194,368,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.5, ""clv_min"": 0.7, ""be_activate_atr"": 1.0}",368
0.34588081105410096,6.209085931382269,1.3655956164360268,1.9377047982796864,0.22012578616352202,2.9783846844211688,318,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.55, ""be_activate_atr"": 0.5}",318
0.3826334486981777,6.862655952720885,1.461240837616217,2.0292032477169912,0.23745819397993312,3.288283309490796,299,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.55, ""be_activate_atr"": 0.75}",299
0.33787337166177145,5.936257294471103,1.2966819616900147,1.8304704277497619,0.25177304964539005,2.9137955229472525,282,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.55, ""be_activate_atr"": 1.0}",282
0.3543819882254513,6.406054750385907,1.3933696732824525,1.978556911073226,0.22364217252396165,3.048090218587436,313,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.6, ""be_activate_atr"": 0.5}",313
0.39042102450366456,7.051833238426745,1.4858833151097488,2.06855179672326,0.23986486486486486,3.356845044250432,296,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.6, ""be_activate_atr"": 0.75}",296
0.3439876662132617,6.0719801241792,1.3166045451004018,1.8577929557965915,0.25357142857142856,2.9630211927607344,280,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.6, ""be_activate_atr"": 1.0}",280
0.3316555817405873,6.011676958606188,1.3243351493246422,1.917149908402903,0.2161290322580645,2.8643497854002224,310,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.65, ""be_activate_atr"": 0.5}",310
0.3663565847473065,6.6340757898795415,1.4156528002337525,2.002363615428613,0.22972972972972974,3.1482804134706464,296,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.65, ""be_activate_atr"": 0.75}",296
0.3493653486594055,6.604138006195736,1.3485015079912217,1.9052520351554767,0.24372759856630824,3.0068143071603175,279,"{""adx_min"": 14, ""r2_min"": 0.1, ""thrust_atr_mult"": 0.75, ""clv_min"": 0.65, ""be_activate_atr"": 1.0}",279
